STATION,DATE,TMAX,TMIN,AWND,PRCP
USW00013810,1/1/2019,54,43,4.47,0
USW00013810,1/2/2019,45,41,6.49,0
USW00013810,1/3/2019,45,36,2.24,0
USW00013810,1/4/2019,49,35,4.92,0.66
USW00013810,1/5/2019,57,36,6.93,0
USW00013810,1/6/2019,60,35,3.58,0
USW00013810,1/7/2019,66,50,11.86,0
USW00013810,1/8/2019,67,44,15.21,0
USW00013810,1/9/2019,45,27,12.97,0
USW00013810,1/10/2019,35,24,5.37,0
USW00013810,1/11/2019,37,20,4.25,0.04
USW00013810,1/12/2019,40,32,6.93,0.24
USW00013810,1/13/2019,40,33,7.38,0.1
USW00013810,1/14/2019,37,28,5.14,0
USW00013810,1/15/2019,36,28,6.04,0
USW00013810,1/16/2019,42,36,5.82,0
USW00013810,1/17/2019,46,40,6.71,0.13
USW00013810,1/18/2019,43,39,4.92,0
USW00013810,1/19/2019,50,26,9.62,0.91
USW00013810,1/20/2019,26,15,9.4,0.03
USW00013810,1/21/2019,24,9,5.14,0
USW00013810,1/22/2019,50,21,10.07,0
USW00013810,1/23/2019,55,32,12.75,0.79
USW00013810,1/24/2019,36,26,10.96,0
USW00013810,1/25/2019,30,15,8.95,0
USW00013810,1/26/2019,43,25,9.84,0
USW00013810,1/27/2019,44,27,6.26,0
USW00013810,1/28/2019,52,24,10.29,0.02
USW00013810,1/29/2019,25,15,12.08,0
USW00013810,1/30/2019,22,3,10.07,0.02
USW00013810,1/31/2019,24,4,4.47,0
USW00013810,2/1/2019,38,24,2.01,0.01
USW00013810,2/2/2019,56,28,2.91,0
USW00013810,2/3/2019,68,38,4.7,0
USW00013810,2/4/2019,58,42,6.71,0.06
USW00013810,2/5/2019,59,46,3.58,0.18
USW00013810,2/6/2019,63,50,6.26,0.94
USW00013810,2/7/2019,68,35,12.3,1.29
USW00013810,2/8/2019,35,20,11.86,0
USW00013810,2/9/2019,34,15,6.93,0
USW00013810,2/10/2019,41,24,5.37,0.25
USW00013810,2/11/2019,50,41,4.92,1.47
USW00013810,2/12/2019,56,33,11.86,1.14
USW00013810,2/13/2019,42,28,12.3,0
USW00013810,2/14/2019,60,36,11.86,0
USW00013810,2/15/2019,54,30,8.72,0
USW00013810,2/16/2019,42,27,8.95,0
USW00013810,2/17/2019,39,30,6.71,0
USW00013810,2/18/2019,36,28,10.07,0
USW00013810,2/19/2019,38,24,8.28,0.02
USW00013810,2/20/2019,52,33,8.95,1.91
USW00013810,2/21/2019,46,30,1.79,0
USW00013810,2/22/2019,45,39,8.28,0
USW00013810,2/23/2019,60,40,8.05,1.05
USW00013810,2/24/2019,61,34,17.67,0.01
USW00013810,2/25/2019,44,26,5.37,0
USW00013810,2/26/2019,56,25,1.79,0
USW00013810,2/27/2019,66,29,6.71,0
USW00013810,2/28/2019,40,33,9.17,0.13
USW00013810,3/1/2019,38,33,5.59,0
USW00013810,3/2/2019,42,36,5.14,0
USW00013810,3/3/2019,38,28,7.61,0.12
USW00013810,3/4/2019,28,14,9.62,0
USW00013810,3/5/2019,29,10,10.96,0
USW00013810,3/6/2019,33,15,7.83,0
USW00013810,3/7/2019,36,22,4.7,0
USW00013810,3/8/2019,43,31,5.82,0.11
USW00013810,3/9/2019,63,37,10.96,1.31
USW00013810,3/10/2019,61,43,12.3,0
USW00013810,3/11/2019,53,35,4.47,0
USW00013810,3/12/2019,52,28,2.91,0
USW00013810,3/13/2019,70,43,9.62,0
USW00013810,3/14/2019,77,56,17,1.04
USW00013810,3/15/2019,57,35,11.41,0
USW00013810,3/16/2019,51,29,6.71,0
USW00013810,3/17/2019,57,27,7.16,0
USW00013810,3/18/2019,51,28,2.01,0
USW00013810,3/19/2019,53,26,1.79,0
USW00013810,3/20/2019,61,38,6.04,0
USW00013810,3/21/2019,48,40,8.5,0.08
USW00013810,3/22/2019,56,36,9.17,0
USW00013810,3/23/2019,59,28,2.01,0
USW00013810,3/24/2019,60,41,4.25,0.07
USW00013810,3/25/2019,54,39,7.16,0.35
USW00013810,3/26/2019,52,30,7.38,0
USW00013810,3/27/2019,62,26,3.13,0
USW00013810,3/28/2019,73,38,9.62,0
USW00013810,3/29/2019,67,54,7.16,0.06
USW00013810,3/30/2019,66,37,12.3,1.12
USW00013810,3/31/2019,44,30,9.62,0
USW00013810,4/1/2019,49,27,5.59,0
USW00013810,4/2/2019,59,32,4.7,0
